1;Lámina;Condor;QIM9YS;58000.00
2;Color;Paper-Mate;3WPTAJ;102500.00
3;Hojas;Xerox;ZR3PZR;86500.00
4;Colbón;Kilométrico;I8Y8/T;63000.00
5;Lámina;Kilométrico;UUVPY0;111000.00
6;Corrector;Faber-Castell;5P70IA;189500.00
7;Color;Xerox;G0KY-3;115500.00
8;Lámina;Kilométrico;SWWXMM;83500.00
9;Lámina;Condor;1AU28T;90000.00
10;Cuaderno;Pelikan;2HROBH;184000.00
11;Pincel;Paper-Mate;RXVR6A;151000.00
12;Pincel;Kilométrico;LA1KSY;160500.00
13;Block;Kilométrico;2DUUOV;195500.00
14;Lápiz;Pelikan;L4KD-Z;46000.00
15;Color;Offi-Esco;QB3JEI;113000.00
16;Plumón;Xerox;3JRUWF;79500.00
17;Colbón;Faber-Castell;UYA0SU;61000.00
18;Cuaderno;Paper-Mate;T7B4I6;73000.00
19;Esfero;Paper-Mate;4K/ACW;193000.00
20;Block;Xerox;GT9545;132500.00
21;Borrador;Paper-Mate;GQKBEA;187500.00
22;Pincel;Condor;K/0JOU;171500.00
23;Cuaderno;Kilométrico;DJLF2X;189500.00
24;Pincel;Kilométrico;CO35JA;125000.00
25;Plumón;Faber-Castell;0V6RDM;91500.00
26;Lápiz;Xerox;VY6HB/;182000.00
27;Borrador;Offi-Esco;20OQDQ;191500.00
28;Lámina;Norma;GEGS/V;108000.00
29;Colbón;Kilométrico;3M5-3P;40500.00
30;Cuaderno;Offi-Esco;5XB3AB;129000.00
31;Carpeta;Offi-Esco;TCGHTT;131000.00
32;Block;Norma;F3ZC1J;153500.00
33;Colbón;Paper-Mate;L4Z-QA;189000.00
34;Colbón;Offi-Esco;TD457J;53000.00
35;Pincel;Condor;WOXDE7;145500.00
36;Lámina;Norma;WVVTEH;157000.00
37;Libro;Faber-Castell;VUP6K/;47000.00
38;Colbón;Condor;XAYE9D;51500.00
39;Block;Pelikan;R7SRA3;81500.00
40;Cuaderno;Bic;Y0-PF7;68000.00
41;Borrador;Xerox;UP1YBL;150500.00
42;Plumón;Kilométrico;4GKHQJ;82000.00
43;Esfero;Offi-Esco;O4ILYH;40000.00
44;Corrector;Xerox;K8WQ70;121500.00
45;Borrador;Pelikan;5UX50I;165000.00
46;Cuaderno;Paper-Mate;FGBGEE;109500.00
47;Color;Pelikan;C7TLY6;167500.00
48;Cuaderno;Paper-Mate;GG9K-F;92000.00
49;Cuaderno;Pelikan;XH3/UT;175500.00
50;Lámina;Offi-Esco;I3VH9P;177500.00
51;Corrector;Norma;FLYRDX;193000.00
52;Hojas;Offi-Esco;EWHX4A;66500.00
53;Color;Norma;1DF/SB;114500.00
54;Hojas;Norma;R/7LQU;95000.00
55;Block;Condor;B6471H;53500.00
56;Carpeta;Offi-Esco;8O/KBQ;130000.00
57;Colbón;Xerox;PGWL91;176000.00
58;Borrador;Faber-Castell;IU6QK8;162000.00
59;Colbón;Faber-Castell;-WB-Y9;134500.00
60;Borrador;Offi-Esco;26QI1X;198500.00
61;Pincel;Condor;QRZ2DV;58000.00
62;Lámina;Offi-Esco;KK2STG;92000.00
63;Lámina;Bic;IQKL00;95000.00
64;Colbón;Norma;P0TAQW;165500.00
65;Cuaderno;Pelikan;GYHIWB;134500.00
66;Esfero;Offi-Esco;MBE86G;187500.00
67;Carpeta;Bic;X3RYRK;163000.00
68;Carpeta;Paper-Mate;YAW7-Q;91500.00
69;Block;Offi-Esco;H/W9/-;91000.00
70;Pincel;Condor;MGVCD7;178000.00
71;Block;Bic;FJ6ZSE;156500.00
72;Pincel;Offi-Esco;WGCRYA;159500.00
73;Carpeta;Condor;5M3SO0;51000.00
74;Cuaderno;Bic;SLZMC2;152000.00
75;Block;Faber-Castell;JK9GJB;76500.00
76;Carpeta;Kilométrico;5ZJKLY;154000.00
77;Plumón;Kilométrico;YPZ5WO;104000.00
78;Libro;Norma;U7390/;190000.00
79;Borrador;Xerox;8Q4TJ4;159500.00
80;Block;Pelikan;H700ZO;173000.00
81;Colbón;Kilométrico;FDRP1J;77500.00
82;Lápiz;Kilométrico;6XYKOC;46500.00
83;Carpeta;Norma;445UFZ;105000.00
